Month,#Passengers
2019-11,33037.28676234558
2019-12,31365.10473399964
2020-01,34135.0926498745
2020-02,36732.8712834553
2020-03,39392.62147756818
2020-04,40147.32940241727
2020-05,38412.15858741786
2020-06,38271.85273984556
2020-07,37767.89187200634
2020-08,35764.48017409051
2020-09,36662.756187592095
2020-10,35558.5633353922
2020-11,35165.80886443677
2020-12,33901.66179951723
2021-01,32908.235547407734
2021-02,30726.149334440208
2021-03,30522.757084729255
2021-04,30346.60672217567
2021-05,30066.802719793515
2021-06,32211.38644046316
2021-07,33386.95807921136
2021-08,33465.575626527934
2021-09,33194.7554170546
2021-10,33779.444879905765
2021-11,35617.19897836093
2021-12,34990.24046451464
2022-01,34159.72691510051
2022-02,33466.8992208282
2022-03,31926.083284700922
2022-04,30451.52934413705
2022-05,29289.205384147717
2022-06,29783.388299493156
2022-07,31112.79119869016
2022-08,30290.360129126228
2022-09,28540.334725095418
2022-10,26302.384312656133
2022-11,26962.399853279076
2022-12,25725.48863484682
2023-01,27072.659853741796
